Time,A1,A2,A3,A4,A5,A6,A7,A8
0,0.030,0.015,0.011,0.010,0.017,0.015,0.004,0.005
24,0.003,0.004,0.003,0.003,0.009,0.003,0.005,0.002
48,0.003,0.004,0.002,0.003,0.007,0.003,0.005,0.004
72,0.006,0.004,0.003,0.005,0.004,0.008,0.004,0.003
96,0.008,0.002,0.005,0.003,0.010,0.004,0.004,0.007
120,0.028,0.027,0.016,0.024,0.031,0.014,0.047,0.016
144,0.036,0.020,0.027,0.030,0.031,0.023,0.034,0.036
168,0.049,0.029,0.036,0.025,0.044,0.033,0.036,0.031
192,0.040,0.029,0.027,0.030,0.041,0.022,0.054,0.035
216,0.038,0.021,0.023,0.021,0.026,0.016,0.024,0.012
240,0.033,0.035,0.011,0.029,0.033,0.011,0.021,0.026
288,0.023,0.019,0.015,0.012,0.159,0.214,0.225,0.217
304,0.021,0.022,0.007,0.002,0.224,0.325,0.387,0.321
312,0.042,0.032,0.018,0.023,0.268,0.432,0.494,0.449
320,0.027,0.017,0.015,0.014,0.344,0.560,0.622,0.660
328,0.030,0.007,0.017,0.017,0.451,0.682,0.875,0.811
336,0.038,0.014,0.013,0.021,0.601,0.952,1.116,1.097
345,0.004,0.022,0.000,0.003,0.853,1.326,1.486,1.451
352,0.015,0.025,0.016,0.011,1.154,1.628,1.790,1.758
360,0.045,0.015,0.032,0.032,1.494,1.898,2.064,2.023
368,0.042,0.031,0.039,0.026,1.786,2.144,2.315,2.238
376,0.063,0.028,0.036,0.022,2.050,2.300,2.497,2.454
384,0.065,0.040,0.023,0.021,2.255,2.453,2.635,2.649
394,0.046,0.041,0.028,0.020,2.507,2.595,2.742,2.830
400,0.067,0.031,0.017,0.023,2.603,2.618,2.855,2.832
408,0.064,0.037,0.051,0.036,2.700,2.785,2.932,2.974
416,0.064,0.040,0.034,0.019,2.831,2.767,3.002,3.088
424,0.106,0.080,0.058,0.030,2.786,2.772,3.026,3.030
432,0.116,0.067,0.055,0.023,2.890,2.874,3.030,3.046
440,0.132,0.099,0.077,0.022,2.890,2.874,3.030,3.046
448,0.167,0.178,0.122,0.039,2.890,2.874,3.030,3.046
456,0.231,0.254,0.143,0.048,2.890,2.874,3.030,3.046
465,0.373,0.516,0.205,0.068,2.890,2.874,3.030,3.046
472,0.491,0.856,0.336,0.073,2.890,2.874,3.030,3.046
480,0.761,1.539,0.476,0.081,2.890,2.874,3.030,3.046
488,1.066,2.315,0.752,0.129,2.890,2.874,3.030,3.046
496,1.467,2.900,1.126,0.166,2.890,2.874,3.030,3.046
504,1.763,3.096,1.518,0.204,2.890,2.874,3.030,3.046
512,2.098,3.200,1.915,0.292,2.890,2.874,3.030,3.046
520,2.403,3.200,2.283,0.438,2.890,2.874,3.030,3.046
528,2.705,3.200,2.561,0.724,2.890,2.874,3.030,3.046
537,2.822,3.200,2.945,1.202,2.890,2.874,3.030,3.046
544,3.029,3.200,3.010,1.746,2.890,2.874,3.030,3.046
552,3.200,3.200,3.200,2.221,2.890,2.874,3.030,3.046
560,3.200,3.200,3.200,2.614,2.890,2.874,3.030,3.046
568,3.200,3.200,3.200,2.986,2.890,2.874,3.030,3.046
